GEOID,tot_pop,median_inc,unemp,pov,EP_age_65,diveristy_idx,hou_burd,vote_share,crime_rate
021137,24424,35185,0.10690028546116744,0.24729966052875219,0.16856370782836555,0.07968112833607033,0.002674621952474025,0.19506327789980127,0.04917294464461186
021139,9353,43333,0.05052430886558627,0.16211340206185568,0.20047043729284722,0.03564253062139988,0.00461340206185567,0.19095801937567278,0.01796215118143911
021141,26757,39027,0.07390728476821191,0.18067777569743493,0.17191762903165528,0.17655545578561072,0.0025650627223366414,0.25277548398935684,0.047127854393242886
021143,8325,47861,0.057777777777777775,0.13650030066145522,0.23063063063063063,0.11088234180126066,0.006764882742032472,0.2637556789500252,0.02018018018018018
021145,65292,42303,0.051207286308685256,0.18168157423971376,0.18136984622924707,0.2537548665352385,9.373881932021467e-4,0.29175583735266875,0.06365251485633769
021147,17850,18972,0.17649233043799667,0.40738963531669864,0.1376470588235294,0.16959694622947208,0.005550223928342931,0.1149584487534626,0.030868347338935575
021149,9492,43005,0.07444574095682614,0.15115969074913357,0.18910661609776655,0.034218415614346576,0.004372167422020794,0.21638195356986423,0.028655710071639275
021151,87324,43707,0.0772747011633488,0.20944799284149465,0.12650588612523475,0.17188405651069305,9.256687957048969e-4,0.31556554547643895,0.0621249599193807
021153,12887,29463,0.12566715186802524,0.3059478814402228,0.14844416854194148,9.25667402252861e-5,0.004893574696638155,0.2290852228303362,0.02615038410801583
021155,19497,40392,0.08748996674693268,0.189298198440441,0.15176693850335948,0.19928143362051476,0.003159451465447701,0.3302921957835039,0.05672667589885624
021157,31213,45670,0.06817201208111606,0.11955507156191661,0.20975234677858584,0.015862391875171022,0.0014701306782825144,0.21990657563780094,0.03309518469868324
021159,12478,29052,0.18593419861153032,0.3317811408614668,0.13455682000320565,0.12232373664297647,0.0061001164144353906,0.09182899064002024,0.048004487898701716
021161,17229,38613,0.06634819532908705,0.2157554379776602,0.1640257705032213,0.16873448004667269,0.003453850676072898,0.272890982130489,0.06535492483603227
021163,28751,50034,0.08963540837446267,0.13498259806227073,0.12364787311745679,0.18321254121215014,0.0021917035086069046,0.2474041370288611,0.02639908177106883
021165,6345,35280,0.10668670172802404,0.2352241174137247,0.17998423955870765,0.010140484028115626,0.009639032130107103,0.2518891687657431,0.019858156028368795
021167,21411,46130,0.09269932756964457,0.17825938953818224,0.17845967026294896,0.12897083135454535,0.002904799727675026,0.22626358053849788,0.04577086544299659
